spaceIndex,spaceId,spaceSymbol,spaceAddress,proposalId,proposalTitle,proposalBody,proposalChoices,proposalStart,proposalStart.1,proposalEnd,proposalSanpshot,proposalAuth,proposalSpace,voteId,voteVoter,voteCreated,voteChoice,voteSpace
3035,20,20,20,20,20,20,20,20,20,20,0,20,20,20,20,20,20,0
3036,146,146,146,146,146,69,146,146,146,146,0,146,146,146,146,146,146,0
3038,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,0
3039,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3040,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3041,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3044,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,0
3045,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3048,28,28,28,28,28,23,28,28,28,28,0,28,28,28,28,28,28,0
3049,5,5,5,5,5,0,5,5,5,5,0,5,5,5,5,5,5,0
3051,1544,1544,1544,1544,1544,1544,1544,1544,1544,1544,0,1544,1544,1544,1544,1544,1544,0
3054,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,0
3055,21,21,21,21,21,0,21,21,21,21,0,21,21,21,21,21,21,0
3058,312,312,312,312,312,296,312,312,312,312,0,312,312,312,312,312,312,0
3059,5432,5432,5432,5432,5432,5432,5432,5432,5432,5432,0,5432,5432,5432,5432,5432,5432,0
3060,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3061,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,0
3062,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3064,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3065,9,9,9,9,9,4,9,9,9,9,0,9,9,9,9,9,9,0
3066,7,7,7,7,7,0,7,7,7,7,0,7,7,7,7,7,7,0
3067,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,0
3068,8,8,8,8,8,0,8,8,8,8,0,8,8,8,8,8,8,0
3069,4,4,4,4,4,1,4,4,4,4,0,4,4,4,4,4,4,0
3070,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3072,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3074,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3075,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3076,9,9,9,9,9,7,9,9,9,9,0,9,9,9,9,9,9,0
3077,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3078,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,0
3080,106,106,106,106,106,106,106,106,106,106,0,106,106,106,106,106,106,0
3081,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,0
3083,194,194,194,194,194,87,194,194,194,194,0,194,194,194,194,194,194,0
3084,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3085,132,132,132,132,132,5,132,132,132,132,0,132,132,132,132,132,132,0
3087,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,0
3088,35,35,35,35,35,18,35,35,35,35,0,35,35,35,35,35,35,0
3089,59786,59786,59786,59786,59786,3948,59786,59786,59786,59786,0,59786,59786,59786,59786,59786,59786,0
3091,5,5,5,5,5,0,5,5,5,5,0,5,5,5,5,5,5,0
3092,822,822,822,822,822,211,822,822,822,822,0,822,822,822,822,822,822,0
3093,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3095,12,12,12,12,12,7,12,12,12,12,0,12,12,12,12,12,12,0
3097,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3100,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,0
3101,514,514,514,514,514,94,514,514,514,514,0,514,514,514,514,514,514,0
3102,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3104,13,13,13,13,13,13,13,13,13,13,0,13,13,13,13,13,13,0
3105,18,18,18,18,18,17,18,18,18,18,0,18,18,18,18,18,18,0
3106,74,74,74,74,74,3,74,74,74,74,0,74,74,74,74,74,74,0
3107,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,0
3108,55,55,55,55,55,0,55,55,55,55,0,55,55,55,55,55,55,0
3109,146,146,146,146,146,6,146,146,146,146,0,146,146,146,146,146,146,0
3113,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3114,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3117,9,9,9,9,9,0,9,9,9,9,0,9,9,9,9,9,9,0
3121,30,30,30,30,30,30,30,30,30,30,0,30,30,30,30,30,30,0
3122,42,42,42,42,42,42,42,42,42,42,0,42,42,42,42,42,42,0
3123,5,5,5,5,5,0,5,5,5,5,0,5,5,5,5,5,5,0
3124,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3126,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3131,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3132,16,16,16,16,16,0,16,16,16,16,0,16,16,16,16,16,16,0
3133,237,237,237,237,237,237,237,237,237,237,0,237,237,237,237,237,237,0
3134,7,7,7,7,7,1,7,7,7,7,0,7,7,7,7,7,7,0
3135,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,0
3137,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
3139,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
3140,12,12,12,12,12,12,12,12,12,12,0,12,12,12,12,12,12,0
